ACC,ARI,NMI,known_acc,unknown_acc,epoch,dataset,method,known_cls_ratio,labeled_ratio,cluster_num_factor,seed
66.49,54.16,80.63,0.7763157894736842,0.628448275862069,-1,banking,lrap,0.25,0.1,1.0,0
66.66,54.99,80.38,0.7723684210526316,0.631896551724138,0,banking,lrap,0.25,0.1,1.0,0
65.88,53.7,80.15,0.7381578947368421,0.6327586206896552,1,banking,lrap,0.25,0.1,1.0,0
64.97,52.71,79.94,0.743421052631579,0.6189655172413793,2,banking,lrap,0.25,0.1,1.0,0
65.42,54.73,80.37,0.7197368421052631,0.6327586206896552,3,banking,lrap,0.25,0.1,1.0,0
63.93,53.02,79.76,0.7039473684210527,0.618103448275862,4,banking,lrap,0.25,0.1,1.0,0
65.58,54.21,80.36,0.7315789473684211,0.6310344827586207,5,banking,lrap,0.25,0.1,1.0,0
64.64,53.83,80.16,0.7039473684210527,0.6275862068965518,6,banking,lrap,0.25,0.1,1.0,0
65.03,54.68,80.55,0.756578947368421,0.6155172413793103,7,banking,lrap,0.25,0.1,1.0,0
66.59,54.64,80.49,0.7131578947368421,0.6504310344827586,8,banking,lrap,0.25,0.1,1.0,0
64.74,53.12,79.88,0.7131578947368421,0.6258620689655172,9,banking,lrap,0.25,0.1,1.0,0
64.12,52.7,80.18,0.7355263157894737,0.6103448275862069,10,banking,lrap,0.25,0.1,1.0,0
67.63,55.39,80.84,0.7578947368421053,0.6495689655172414,11,banking,lrap,0.25,0.1,1.0,0
64.38,54.35,80.75,0.7605263157894737,0.6056034482758621,12,banking,lrap,0.25,0.1,1.0,0
66.53,55.7,81.37,0.7513157894736842,0.6370689655172413,13,banking,lrap,0.25,0.1,1.0,0
67.37,55.31,81.32,0.7776315789473685,0.6396551724137931,14,banking,lrap,0.25,0.1,1.0,0
67.37,57.25,81.7,0.7986842105263158,0.6327586206896552,15,banking,lrap,0.25,0.1,1.0,0
68.28,57.7,81.73,0.7828947368421053,0.65,16,banking,lrap,0.25,0.1,1.0,0
66.2,55.5,81.14,0.7223684210526315,0.6422413793103449,17,banking,lrap,0.25,0.1,1.0,0
66.79,55.84,81.29,0.7236842105263158,0.6495689655172414,18,banking,lrap,0.25,0.1,1.0,0
65.81,56.01,81.87,0.7144736842105263,0.6396551724137931,19,banking,lrap,0.25,0.1,1.0,0
66.23,55.36,81.35,0.7473684210526316,0.6344827586206897,20,banking,lrap,0.25,0.1,1.0,0
