epoch,timestamp,labeled_num,convergence_iterations,llm_total,llm_tot_correct,llm_tot_acc,llm_central_acc,llm_negatives_acc,prop_total,prop_correct,prop_acc,hard_count,hard_prob_total,hard_prob_correct,hard_prob_acc,central_count,central_prob_total,central_prob_correct,central_prob_acc
0,2025-06-17 15:01:26,452,52,78,49,0.6282051282051282,0.6896551724137931,0.45,910,822,0.9032967032967033,20,26,19,0.7307692307692307,58,884,803,0.9083710407239819
4,2025-06-17 15:05:44,1440,57,78,50,0.6410256410256411,0.7068965517241379,0.45,811,740,0.9124537607891492,20,36,30,0.8333333333333334,58,775,710,0.9161290322580645
9,2025-06-17 15:08:27,2329,59,78,52,0.6666666666666666,0.6896551724137931,0.6,677,585,0.8641063515509602,20,24,18,0.75,58,653,567,0.8683001531393568
14,2025-06-17 15:12:10,3084,71,78,50,0.6410256410256411,0.7068965517241379,0.45,680,580,0.8529411764705882,20,41,22,0.5365853658536586,58,639,558,0.8732394366197183
19,2025-06-17 15:17:08,3842,62,78,50,0.6410256410256411,0.7241379310344828,0.4,629,549,0.8728139904610492,20,37,18,0.4864864864864865,58,592,531,0.8969594594594594
24,2025-06-17 15:22:19,4549,60,78,56,0.717948717948718,0.8103448275862069,0.45,506,429,0.8478260869565217,20,33,16,0.48484848484848486,58,473,413,0.8731501057082452
29,2025-06-17 15:27:31,5133,60,78,53,0.6794871794871795,0.7241379310344828,0.55,453,418,0.9227373068432672,20,48,41,0.8541666666666666,58,405,377,0.9308641975308642
34,2025-06-17 15:33:47,5664,61,78,55,0.7051282051282052,0.7758620689655172,0.5,407,338,0.8304668304668305,20,29,24,0.8275862068965517,58,378,314,0.8306878306878307
39,2025-06-17 15:39:17,6149,62,78,56,0.717948717948718,0.7931034482758621,0.5,405,335,0.8271604938271605,20,33,21,0.6363636363636364,58,372,314,0.8440860215053764
44,2025-06-17 15:45:20,6632,74,78,57,0.7307692307692307,0.7068965517241379,0.8,288,261,0.90625,20,29,21,0.7241379310344828,58,259,240,0.9266409266409267
49,2025-06-17 15:51:11,6998,60,78,56,0.717948717948718,0.8103448275862069,0.45,263,238,0.9049429657794676,20,21,17,0.8095238095238095,58,242,221,0.9132231404958677
54,2025-06-17 15:57:57,7339,71,78,59,0.7564102564102564,0.7758620689655172,0.7,188,159,0.8457446808510638,20,14,7,0.5,58,174,152,0.8735632183908046
59,2025-06-17 16:03:48,7604,71,78,56,0.717948717948718,0.7758620689655172,0.55,171,153,0.8947368421052632,20,13,7,0.5384615384615384,58,158,146,0.9240506329113924
64,2025-06-17 16:10:21,7853,59,78,59,0.7564102564102564,0.8103448275862069,0.6,129,115,0.8914728682170543,20,17,14,0.8235294117647058,58,112,101,0.9017857142857143
69,2025-06-17 16:16:47,8059,58,78,58,0.7435897435897436,0.7931034482758621,0.6,110,92,0.8363636363636363,20,21,17,0.8095238095238095,58,89,75,0.8426966292134831
74,2025-06-17 16:23:24,8247,59,78,53,0.6794871794871795,0.7586206896551724,0.45,110,92,0.8363636363636363,20,5,3,0.6,58,105,89,0.8476190476190476
79,2025-06-17 16:29:30,8433,58,78,58,0.7435897435897436,0.8103448275862069,0.55,71,56,0.7887323943661971,20,10,5,0.5,58,61,51,0.8360655737704918
84,2025-06-17 16:35:53,8581,59,78,54,0.6923076923076923,0.7413793103448276,0.55,42,39,0.9285714285714286,20,0,0,0.0,58,42,39,0.9285714285714286
89,2025-06-17 16:42:50,8698,57,78,63,0.8076923076923077,0.8793103448275862,0.6,35,30,0.8571428571428571,20,4,2,0.5,58,31,28,0.9032258064516129
94,2025-06-17 16:49:05,8810,62,78,65,0.8333333333333334,0.7758620689655172,1.0,19,18,0.9473684210526315,20,5,5,1.0,58,14,13,0.9285714285714286
99,2025-06-17 16:55:34,8902,56,78,60,0.7692307692307693,0.7931034482758621,0.7,4,4,1.0,20,3,3,1.0,58,1,1,1.0
104,2025-06-17 17:02:04,8971,56,52,39,0.75,0.71875,0.8,0,0,0.0,20,0,0,0.0,32,0,0,0.0
109,2025-06-17 17:08:30,9003,56,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
114,2025-06-17 17:15:11,9003,56,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
119,2025-06-17 17:21:33,9003,56,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
124,2025-06-17 17:28:21,9003,56,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
129,2025-06-17 17:34:55,9003,56,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
134,2025-06-17 17:41:34,9003,56,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
139,2025-06-17 17:48:09,9003,56,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
144,2025-06-17 17:54:50,9003,56,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
149,2025-06-17 18:01:11,9003,56,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
