ACC,ARI,NMI,known_acc,unknown_acc,epoch,dataset,method,known_cls_ratio,labeled_ratio,cluster_num_factor,seed
86.22,80.15,94.15,0.9473684210526316,0.8333333333333334,-1,clinc,lrap,0.25,0.1,1.0,0
86.49,80.56,94.41,0.9017543859649124,0.8523809523809524,0,clinc,lrap,0.25,0.1,1.0,0
85.87,80.84,94.46,0.9263157894736842,0.8357142857142857,1,clinc,lrap,0.25,0.1,1.0,0
85.87,80.27,94.29,0.9280701754385964,0.8351190476190476,2,clinc,lrap,0.25,0.1,1.0,0
87.64,81.71,94.61,0.924561403508772,0.8601190476190477,3,clinc,lrap,0.25,0.1,1.0,0
87.2,81.63,94.56,0.9315789473684212,0.8517857142857143,4,clinc,lrap,0.25,0.1,1.0,0
87.6,81.29,94.47,0.9192982456140352,0.8613095238095239,5,clinc,lrap,0.25,0.1,1.0,0
86.22,79.76,94.05,0.9333333333333332,0.8380952380952381,6,clinc,lrap,0.25,0.1,1.0,0
85.82,80.9,94.59,0.9350877192982456,0.8321428571428572,7,clinc,lrap,0.25,0.1,1.0,0
86.49,80.9,94.51,0.9333333333333332,0.8416666666666667,8,clinc,lrap,0.25,0.1,1.0,0
84.22,79.43,94.25,0.9175438596491228,0.8166666666666667,9,clinc,lrap,0.25,0.1,1.0,0
86.0,80.98,94.61,0.9228070175438596,0.8386904761904762,10,clinc,lrap,0.25,0.1,1.0,0
84.4,78.84,94.14,0.924561403508772,0.8166666666666667,11,clinc,lrap,0.25,0.1,1.0,0
85.91,80.61,94.38,0.8789473684210526,0.8523809523809524,12,clinc,lrap,0.25,0.1,1.0,0
84.22,79.63,94.23,0.9192982456140352,0.8160714285714286,13,clinc,lrap,0.25,0.1,1.0,0
84.53,78.17,93.87,0.9280701754385964,0.8172619047619047,14,clinc,lrap,0.25,0.1,1.0,0
86.27,80.01,94.21,0.9315789473684212,0.8392857142857143,15,clinc,lrap,0.25,0.1,1.0,0
85.78,79.99,94.41,0.8807017543859649,0.85,16,clinc,lrap,0.25,0.1,1.0,0
85.38,79.84,94.36,0.936842105263158,0.825595238095238,17,clinc,lrap,0.25,0.1,1.0,0
84.58,79.16,94.16,0.9105263157894736,0.8238095238095238,18,clinc,lrap,0.25,0.1,1.0,0
85.51,80.12,94.28,0.9315789473684212,0.8291666666666667,19,clinc,lrap,0.25,0.1,1.0,0
87.6,81.57,94.6,0.9052631578947368,0.8660714285714286,20,clinc,lrap,0.25,0.1,1.0,0
85.42,80.22,94.34,0.9052631578947368,0.8369047619047619,21,clinc,lrap,0.25,0.1,1.0,0
85.33,79.33,94.18,0.9052631578947368,0.8357142857142857,22,clinc,lrap,0.25,0.1,1.0,0
84.84,79.24,94.17,0.9263157894736842,0.8220238095238095,23,clinc,lrap,0.25,0.1,1.0,0
84.76,79.12,93.91,0.9140350877192982,0.825,24,clinc,lrap,0.25,0.1,1.0,0
85.24,79.78,94.26,0.9350877192982456,0.8244047619047619,25,clinc,lrap,0.25,0.1,1.0,0
86.8,81.51,94.6,0.9087719298245616,0.8541666666666666,26,clinc,lrap,0.25,0.1,1.0,0
86.36,80.45,94.4,0.9035087719298246,0.85,27,clinc,lrap,0.25,0.1,1.0,0
87.24,81.31,94.41,0.9210526315789472,0.8559523809523809,28,clinc,lrap,0.25,0.1,1.0,0
85.87,80.84,94.59,0.9210526315789472,0.8375,29,clinc,lrap,0.25,0.1,1.0,0
89.07,83.85,95.26,0.9596491228070176,0.8672619047619048,30,clinc,lrap,0.25,0.1,1.0,0
89.02,83.28,95.17,0.9280701754385964,0.8773809523809524,31,clinc,lrap,0.25,0.1,1.0,0
88.04,82.76,95.04,0.8842105263157894,0.8791666666666667,32,clinc,lrap,0.25,0.1,1.0,0
87.11,82.3,94.96,0.8964912280701754,0.8625,33,clinc,lrap,0.25,0.1,1.0,0
87.16,81.81,94.81,0.9192982456140352,0.8553571428571428,34,clinc,lrap,0.25,0.1,1.0,0
90.76,85.24,95.58,0.9228070175438596,0.9023809523809524,35,clinc,lrap,0.25,0.1,1.0,0
89.78,84.74,95.57,0.950877192982456,0.8797619047619047,36,clinc,lrap,0.25,0.1,1.0,0
91.42,85.74,95.79,0.9543859649122808,0.9005952380952381,37,clinc,lrap,0.25,0.1,1.0,0
92.49,87.37,96.1,0.9298245614035088,0.9232142857142858,38,clinc,lrap,0.25,0.1,1.0,0
91.33,85.9,95.7,0.9473684210526316,0.9017857142857144,39,clinc,lrap,0.25,0.1,1.0,0
91.6,87.35,96.27,0.8982456140350877,0.9220238095238096,40,clinc,lrap,0.25,0.1,1.0,0
91.38,87.57,96.32,0.9350877192982456,0.906547619047619,41,clinc,lrap,0.25,0.1,1.0,0
92.98,88.15,96.39,0.9578947368421052,0.9202380952380952,42,clinc,lrap,0.25,0.1,1.0,0
93.16,88.3,96.27,0.9526315789473684,0.924404761904762,43,clinc,lrap,0.25,0.1,1.0,0
91.87,87.18,96.17,0.924561403508772,0.9166666666666666,44,clinc,lrap,0.25,0.1,1.0,0
93.07,89.04,96.61,0.963157894736842,0.9196428571428572,45,clinc,lrap,0.25,0.1,1.0,0
94.4,90.0,96.81,0.9578947368421052,0.9392857142857144,46,clinc,lrap,0.25,0.1,1.0,0
93.2,88.94,96.63,0.9578947368421052,0.9232142857142858,47,clinc,lrap,0.25,0.1,1.0,0
93.69,89.41,96.7,0.9614035087719298,0.9285714285714286,48,clinc,lrap,0.25,0.1,1.0,0
93.73,89.27,96.62,0.9350877192982456,0.938095238095238,49,clinc,lrap,0.25,0.1,1.0,0
93.78,89.49,96.65,0.9526315789473684,0.9327380952380953,50,clinc,lrap,0.25,0.1,1.0,0
94.8,90.43,96.91,0.9649122807017544,0.9422619047619047,51,clinc,lrap,0.25,0.1,1.0,0
94.09,89.65,96.7,0.963157894736842,0.9333333333333332,52,clinc,lrap,0.25,0.1,1.0,0
94.13,89.9,96.84,0.936842105263158,0.9428571428571428,53,clinc,lrap,0.25,0.1,1.0,0
94.18,89.88,96.83,0.9350877192982456,0.944047619047619,54,clinc,lrap,0.25,0.1,1.0,0
94.49,90.16,96.84,0.9421052631578948,0.9458333333333332,55,clinc,lrap,0.25,0.1,1.0,0
95.11,90.9,97.08,0.9596491228070176,0.9482142857142856,56,clinc,lrap,0.25,0.1,1.0,0
94.67,90.79,97.09,0.9666666666666668,0.9398809523809524,57,clinc,lrap,0.25,0.1,1.0,0
94.49,90.38,96.95,0.9666666666666668,0.9375,58,clinc,lrap,0.25,0.1,1.0,0
93.91,89.59,96.71,0.9614035087719298,0.9315476190476192,59,clinc,lrap,0.25,0.1,1.0,0
93.56,89.4,96.69,0.9543859649122808,0.9291666666666668,60,clinc,lrap,0.25,0.1,1.0,0
95.11,90.4,96.75,0.963157894736842,0.9470238095238096,61,clinc,lrap,0.25,0.1,1.0,0
94.98,90.92,97.06,0.9649122807017544,0.9446428571428572,62,clinc,lrap,0.25,0.1,1.0,0
94.67,90.25,96.81,0.9649122807017544,0.9404761904761904,63,clinc,lrap,0.25,0.1,1.0,0
93.42,88.93,96.56,0.9614035087719298,0.925,64,clinc,lrap,0.25,0.1,1.0,0
94.84,90.41,96.82,0.9614035087719298,0.944047619047619,65,clinc,lrap,0.25,0.1,1.0,0
94.22,89.86,96.82,0.9666666666666668,0.9339285714285714,66,clinc,lrap,0.25,0.1,1.0,0
