epoch,timestamp,labeled_num,convergence_iterations,llm_total,llm_tot_correct,llm_tot_acc,llm_central_acc,llm_negatives_acc,prop_total,prop_correct,prop_acc,hard_count,hard_prob_total,hard_prob_correct,hard_prob_acc,central_count,central_prob_total,central_prob_correct,central_prob_acc
0,2025-06-15 19:03:51,900,63,151,107,0.7086092715231788,0.7256637168141593,0.6578947368421053,1707,1652,0.9677797305213826,38,51,35,0.6862745098039216,113,1656,1617,0.9764492753623188
4,2025-06-15 19:37:22,2758,63,151,117,0.7748344370860927,0.831858407079646,0.6052631578947368,1550,1513,0.9761290322580645,38,59,54,0.9152542372881356,113,1491,1459,0.9785378940308518
9,2025-06-15 20:08:13,4459,63,151,119,0.7880794701986755,0.7787610619469026,0.8157894736842105,1295,1224,0.9451737451737452,38,41,33,0.8048780487804879,113,1254,1191,0.9497607655502392
14,2025-06-15 20:33:34,5905,64,151,151,1.0,1.0,1.0,1368,1325,0.9685672514619883,38,75,63,0.84,113,1293,1262,0.9760247486465584
19,2025-06-16 06:28:56,7424,71,151,103,0.6821192052980133,0.7079646017699115,0.6052631578947368,1253,1197,0.9553072625698324,38,70,51,0.7285714285714285,113,1183,1146,0.9687235841081995
24,2025-06-16 06:37:13,8828,71,151,109,0.7218543046357616,0.6991150442477876,0.7894736842105263,1090,1051,0.9642201834862385,38,79,67,0.8481012658227848,113,1011,984,0.973293768545994
29,2025-06-16 06:43:33,10069,71,151,110,0.7284768211920529,0.7433628318584071,0.6842105263157895,1048,994,0.9484732824427481,38,67,53,0.7910447761194029,113,981,941,0.9592252803261978
34,2025-06-16 06:49:57,11268,62,151,120,0.7947019867549668,0.8053097345132744,0.7631578947368421,955,906,0.9486910994764398,38,104,82,0.7884615384615384,113,851,824,0.9682726204465335
39,2025-06-16 06:56:53,12374,65,151,119,0.7880794701986755,0.8141592920353983,0.7105263157894737,756,732,0.9682539682539683,38,74,69,0.9324324324324325,113,682,663,0.9721407624633431
44,2025-06-16 07:06:58,13281,71,151,116,0.7682119205298014,0.8938053097345132,0.39473684210526316,650,621,0.9553846153846154,38,35,31,0.8857142857142857,113,615,590,0.959349593495935
49,2025-06-16 07:16:54,14082,71,151,131,0.8675496688741722,0.8938053097345132,0.7894736842105263,629,605,0.9618441971383148,38,73,60,0.821917808219178,113,556,545,0.9802158273381295
54,2025-06-16 07:24:10,14862,76,151,131,0.8675496688741722,0.9292035398230089,0.6842105263157895,492,477,0.9695121951219512,38,23,22,0.9565217391304348,113,469,455,0.9701492537313433
59,2025-06-16 07:31:55,15504,71,151,128,0.847682119205298,0.8938053097345132,0.7105263157894737,471,453,0.9617834394904459,38,20,13,0.65,113,451,440,0.975609756097561
64,2025-06-16 07:41:16,16123,71,151,131,0.8675496688741722,0.8761061946902655,0.8421052631578947,295,288,0.976271186440678,38,14,14,1.0,113,281,274,0.9750889679715302
69,2025-06-16 07:49:10,16567,62,151,112,0.7417218543046358,0.831858407079646,0.47368421052631576,193,189,0.9792746113989638,38,1,1,1.0,113,192,188,0.9791666666666666
74,2025-06-16 07:57:31,16908,62,151,126,0.8344370860927153,0.831858407079646,0.8421052631578947,195,191,0.9794871794871794,38,49,49,1.0,113,146,142,0.9726027397260274
79,2025-06-16 08:06:26,17246,61,151,136,0.9006622516556292,0.911504424778761,0.868421052631579,116,111,0.9568965517241379,38,37,35,0.9459459459459459,113,79,76,0.9620253164556962
84,2025-06-16 08:16:09,17510,61,151,124,0.8211920529801324,0.7964601769911505,0.8947368421052632,86,85,0.9883720930232558,38,25,24,0.96,113,61,61,1.0
89,2025-06-16 08:25:40,17740,62,151,128,0.847682119205298,0.8761061946902655,0.7631578947368421,18,17,0.9444444444444444,38,10,10,1.0,113,8,7,0.875
94,2025-06-16 08:33:59,17889,61,149,125,0.8389261744966443,0.8288288288288288,0.868421052631579,0,0,0.0,38,0,0,0.0,111,0,0,0.0
99,2025-06-16 08:41:29,18000,61,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
104,2025-06-16 08:49:13,18000,61,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
109,2025-06-16 08:57:00,18000,61,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
114,2025-06-16 09:04:30,18000,61,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
119,2025-06-16 09:11:57,18000,61,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
124,2025-06-16 09:19:27,18000,61,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
129,2025-06-16 09:26:56,18000,61,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
134,2025-06-16 09:34:28,18000,61,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
139,2025-06-16 09:41:50,18000,61,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
144,2025-06-16 09:49:26,18000,61,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
149,2025-06-16 09:57:03,18000,61,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
