epoch,timestamp,labeled_num,convergence_iterations,llm_total,llm_tot_correct,llm_tot_acc,llm_central_acc,llm_negatives_acc,prop_total,prop_correct,prop_acc,hard_count,hard_prob_total,hard_prob_correct,hard_prob_acc,central_count,central_prob_total,central_prob_correct,central_prob_acc
0,2025-06-16 12:35:46,450,52,100,91,0.91,0.9066666666666666,0.92,3801,3562,0.9371218100499868,25,98,36,0.3673469387755102,75,3703,3526,0.9522009181744532
0,2025-06-16 12:36:29,450,52,100,91,0.91,0.92,0.88,3801,3493,0.9189686924493554,25,87,32,0.367816091954023,75,3714,3461,0.9318793753365644
4,2025-06-16 12:41:42,4351,59,100,57,0.57,0.5866666666666667,0.52,1598,1362,0.8523153942428036,25,79,25,0.31645569620253167,75,1519,1337,0.880184331797235
9,2025-06-16 12:48:16,6049,60,100,53,0.53,0.52,0.56,1302,1087,0.8348694316436251,25,49,28,0.5714285714285714,75,1253,1059,0.8451715881883479
14,2025-06-16 12:55:43,7451,60,100,56,0.56,0.5333333333333333,0.64,1530,1301,0.8503267973856209,25,60,26,0.43333333333333335,75,1470,1275,0.8673469387755102
19,2025-06-16 13:03:56,9081,60,100,60,0.6,0.64,0.48,1504,1368,0.9095744680851063,25,51,11,0.21568627450980393,75,1453,1357,0.9339298004129387
24,2025-06-16 13:13:23,10685,60,100,71,0.71,0.6266666666666667,0.96,1007,886,0.8798411122144985,25,56,24,0.42857142857142855,75,951,862,0.9064143007360673
29,2025-06-16 13:22:44,11792,60,100,69,0.69,0.72,0.6,924,706,0.7640692640692641,25,41,7,0.17073170731707318,75,883,699,0.7916194790486977
34,2025-06-16 13:33:16,12816,60,100,73,0.73,0.7333333333333333,0.72,747,668,0.8942436412315931,25,66,33,0.5,75,681,635,0.9324522760646109
39,2025-06-16 13:45:11,13663,60,100,70,0.7,0.6933333333333334,0.72,623,433,0.695024077046549,25,47,16,0.3404255319148936,75,576,417,0.7239583333333334
44,2025-06-16 13:57:22,14386,60,100,72,0.72,0.7733333333333333,0.56,538,452,0.8401486988847584,25,37,7,0.1891891891891892,75,501,445,0.8882235528942116
49,2025-06-16 14:10:35,15024,59,100,79,0.79,0.8,0.76,453,362,0.7991169977924945,25,50,19,0.38,75,403,343,0.8511166253101737
54,2025-06-16 14:23:24,15577,60,100,77,0.77,0.8133333333333334,0.64,383,291,0.7597911227154047,25,34,11,0.3235294117647059,75,349,280,0.8022922636103151
59,2025-06-16 14:36:24,16060,57,100,70,0.7,0.7333333333333333,0.6,246,194,0.7886178861788617,25,36,16,0.4444444444444444,75,210,178,0.8476190476190476
64,2025-06-16 14:49:45,16405,57,100,77,0.77,0.7866666666666666,0.72,203,146,0.7192118226600985,25,26,8,0.3076923076923077,75,177,138,0.7796610169491526
69,2025-06-16 15:03:35,16708,57,100,65,0.65,0.68,0.56,129,100,0.7751937984496124,25,13,6,0.46153846153846156,75,116,94,0.8103448275862069
74,2025-06-16 15:17:24,16937,55,100,70,0.7,0.72,0.64,146,108,0.7397260273972602,25,22,8,0.36363636363636365,75,124,100,0.8064516129032258
79,2025-06-16 15:31:26,17183,54,100,72,0.72,0.7333333333333333,0.68,124,85,0.6854838709677419,25,18,7,0.3888888888888889,75,106,78,0.7358490566037735
84,2025-06-16 15:45:28,17407,54,100,74,0.74,0.7733333333333333,0.64,51,36,0.7058823529411765,25,12,6,0.5,75,39,30,0.7692307692307693
89,2025-06-16 15:59:30,17557,54,100,79,0.79,0.7866666666666666,0.8,35,20,0.5714285714285714,25,3,2,0.6666666666666666,75,32,18,0.5625
94,2025-06-16 16:14:22,17689,51,100,70,0.7,0.7333333333333333,0.6,24,15,0.625,25,4,0,0.0,75,20,15,0.75
99,2025-06-16 16:28:37,17810,51,100,75,0.75,0.7866666666666666,0.64,4,2,0.5,25,1,1,1.0,75,3,1,0.3333333333333333
104,2025-06-16 16:42:19,17903,51,100,76,0.76,0.7466666666666667,0.8,0,0,0.0,25,0,0,0.0,75,0,0,0.0
109,2025-06-16 16:56:21,17983,51,34,20,0.5882352941176471,0.5882352941176471,0.5882352941176471,0,0,0.0,17,0,0,0.0,17,0,0,0.0
114,2025-06-16 17:10:31,18000,51,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
119,2025-06-16 17:25:03,18000,51,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
124,2025-06-16 17:39:20,18000,51,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
129,2025-06-16 17:53:38,18000,51,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
134,2025-06-16 18:07:47,18000,51,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
139,2025-06-16 18:22:01,18000,51,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
144,2025-06-16 18:36:29,18000,51,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
149,2025-06-16 18:51:00,18000,51,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
