ACC,ARI,NMI,known_acc,unknown_acc,epoch,dataset,method,known_cls_ratio,labeled_ratio,cluster_num_factor,seed
75.7,61.18,75.34,0.808,0.74,-1,stackoverflow,ligd,0.25,0.1,1.0,0
75.7,61.22,75.35,0.808,0.74,0,stackoverflow,ligd,0.25,0.1,1.0,0
75.6,61.25,75.28,0.808,0.7386666666666667,1,stackoverflow,ligd,0.25,0.1,1.0,0
73.8,58.62,73.48,0.804,0.716,2,stackoverflow,ligd,0.25,0.1,1.0,0
73.0,58.34,74.07,0.868,0.684,3,stackoverflow,ligd,0.25,0.1,1.0,0
75.2,59.63,73.87,0.84,0.7226666666666667,4,stackoverflow,ligd,0.25,0.1,1.0,0
69.4,57.64,73.59,0.848,0.6426666666666667,5,stackoverflow,ligd,0.25,0.1,1.0,0
73.8,60.65,74.56,0.848,0.7013333333333334,6,stackoverflow,ligd,0.25,0.1,1.0,0
69.8,57.38,73.57,0.848,0.648,7,stackoverflow,ligd,0.25,0.1,1.0,0
68.5,57.99,73.2,0.844,0.632,8,stackoverflow,ligd,0.25,0.1,1.0,0
73.4,58.9,73.02,0.86,0.692,9,stackoverflow,ligd,0.25,0.1,1.0,0
73.8,60.38,74.42,0.856,0.6986666666666667,10,stackoverflow,ligd,0.25,0.1,1.0,0
74.0,61.09,75.2,0.852,0.7026666666666667,11,stackoverflow,ligd,0.25,0.1,1.0,0
74.6,59.29,73.16,0.872,0.704,12,stackoverflow,ligd,0.25,0.1,1.0,0
69.9,59.36,73.9,0.852,0.648,13,stackoverflow,ligd,0.25,0.1,1.0,0
67.3,55.99,71.76,0.836,0.6186666666666667,14,stackoverflow,ligd,0.25,0.1,1.0,0
69.7,59.68,74.25,0.848,0.6466666666666666,15,stackoverflow,ligd,0.25,0.1,1.0,0
72.8,61.0,75.0,0.848,0.688,16,stackoverflow,ligd,0.25,0.1,1.0,0
75.2,61.76,74.66,0.844,0.7213333333333334,17,stackoverflow,ligd,0.25,0.1,1.0,0
75.0,63.1,75.69,0.848,0.7173333333333334,18,stackoverflow,ligd,0.25,0.1,1.0,0
74.3,61.81,74.59,0.844,0.7093333333333334,19,stackoverflow,ligd,0.25,0.1,1.0,0
76.4,64.07,76.43,0.848,0.736,20,stackoverflow,ligd,0.25,0.1,1.0,0
77.0,63.93,76.24,0.848,0.744,21,stackoverflow,ligd,0.25,0.1,1.0,0
75.2,63.39,75.57,0.844,0.7213333333333334,22,stackoverflow,ligd,0.25,0.1,1.0,0
75.9,63.08,75.86,0.848,0.7293333333333333,23,stackoverflow,ligd,0.25,0.1,1.0,0
77.4,65.09,76.58,0.852,0.748,24,stackoverflow,ligd,0.25,0.1,1.0,0
78.0,66.1,77.29,0.848,0.7573333333333333,25,stackoverflow,ligd,0.25,0.1,1.0,0
79.1,66.53,77.82,0.852,0.7706666666666667,26,stackoverflow,ligd,0.25,0.1,1.0,0
77.4,65.96,77.82,0.84,0.752,27,stackoverflow,ligd,0.25,0.1,1.0,0
79.0,66.01,77.28,0.86,0.7666666666666667,28,stackoverflow,ligd,0.25,0.1,1.0,0
78.5,65.76,77.17,0.844,0.7653333333333333,29,stackoverflow,ligd,0.25,0.1,1.0,0
81.5,68.89,78.7,0.856,0.8013333333333333,30,stackoverflow,ligd,0.25,0.1,1.0,0
